Date,Ticker,Ticker_name,Exposure,Category,Sharpe_Rank_qtd_change,current_Sharpe_Rank,previous_Sharpe_Rank
2026-08-25,DLTR,"DOLLAR TREE, INC.",Consumer Staples,Consumer Staples,15.4,75.6,60.2
2026-08-25,DOC,"HEALTHDOC PROPERTIES, INC.",Real Estate,Real Estate,-79.7,14.1,93.8
2026-08-25,DOV,DOVER ,Industrials,Industrials,-35.9,40.3,76.2
2026-08-25,DOW,DOW INC.,Materials,Materials,56.7,56.9,0.2
2026-08-25,DPZ,"DOMINO'S PIZZA, INC.",Consumer Discretionary,Consumer Discretionary,24.3,66.5,42.2
2026-08-25,DRI,"DARDEN RESTAURANTS, INC.",Consumer Discretionary,Consumer Discretionary,15.0,76.8,61.8
2026-08-25,DTE,DTE ENERGY COMPANY,Utilities,Utilities,-92.8,3.4,96.2
2026-08-25,DUK,DUKE ENERGY ,Utilities,Utilities,-72.9,8.9,81.8
2026-08-25,DVA,DAVITA INC.,Health Care,Health Care,-97.6,2.2,99.8
2026-08-25,DVN,DEVON ENERGY ,Energy,Energy,68.2,72.0,3.8
2026-08-25,DXCM,"DEXCOM, INC.",Health Care,Health Care,74.7,87.5,12.8
2026-08-25,DXY,US DOLLAR INDEX,USD,Indices,-92.8,1.4,94.2
2026-08-25,EBAY,EBAY INC.,Consumer Discretionary,Consumer Discretionary,-38.1,8.5,46.6
2026-08-25,EC,ECOPETROL SA,,MR Discretion,42.0,52.2,10.2
2026-08-25,ECH,ISHARES:MSCI CHILE,,Foreign,51.0,78.0,27.0
2026-08-25,ECHO,ECHOSTAR CORPORATION,Communication Services,Communication Services,48.8,51.0,2.2
2026-08-25,ECL,ECOLAB INC.,Materials,Materials,-34.5,57.7,92.2
2026-08-25,ED,"CONSOLIDATED EDISON, INC.",Utilities,Utilities,-80.5,9.7,90.2
2026-08-25,EDEN,ISHARES:MSCI DENMARK,,Foreign,42.1,86.7,44.6
2026-08-25,EDV,VANGUARD EXT DUR T;ETF,Bonds,Bonds,-16.0,56.2,72.2
2026-08-25,EFNL,ISHARES:MSCI FINLAND,,Foreign,94.8,99.4,4.6
2026-08-25,EFX,EQUIFAX INC.,Industrials,Industrials,39.8,69.2,29.4
2026-08-25,EG,"EVEREST GROUP, LTD.",Financials,Financials,-82.5,10.1,92.6
2026-08-25,EIDO,ISHARES:MSCI INDONESIA,,Foreign,71.3,92.7,21.4
2026-08-25,EIRL,ISHARES:MSCI IRELAND,,Foreign,38.8,95.8,57.0
2026-08-25,EIS,ISHARES:MSCI ISRAEL,,Foreign,38.8,46.2,7.4
2026-08-25,EIX,EDISON INTERNATIONAL,Utilities,Utilities,-74.7,13.7,88.4
2026-08-25,EL,THE ESTEE LAUDER COMPANIES INC.,Consumer Staples,Consumer Staples,72.9,86.7,13.8
2026-08-25,ELV,"ELEVANCE HEALTH, INC.",Health Care,Health Care,18.0,51.0,33.0
2026-08-25,EME,"EMCOR GROUP, INC.",Industrials,Industrials,22.8,53.8,31.0
2026-08-25,EMR,EMERSON ELECTRIC CO.,Industrials,Industrials,6.0,55.0,49.0
2026-08-25,ENZL,ISHARES:MSCI NEW ZLND,,Foreign,75.3,89.9,14.6
2026-08-25,EOG,"EOG RESOURCES, INC.",Energy,Energy,38.9,62.3,23.4
2026-08-25,EPAM,"EPAM SYSTEMS, INC.",Information Technology,Information Technology,61.4,69.6,8.2
2026-08-25,EPHE,ISHARES:MSCI PHILIPPINES,,Foreign,-52.5,11.7,64.2
2026-08-25,EPOL,ISHARES:MSCI POLAND,,Foreign,75.3,92.3,17.0
2026-08-25,EPU,ISHARES:MSCI PERU,,Foreign,54.6,74.0,19.4
2026-08-25,EQIX,"EQUINIX, INC.",Real Estate,Real Estate,24.2,55.6,31.4
2026-08-25,EQR,EQUITY RESIDENTIAL,Real Estate,Real Estate,-35.1,39.1,74.2
2026-08-25,EQT,EQT ,Energy,Energy,38.6,71.2,32.6
2026-08-25,ERIE,ERIE INDEMNITY COMPANY,Financials,Financials,-14.7,85.1,99.8
2026-08-25,ES,EVERSOURCE ENERGY,Utilities,Utilities,-84.8,3.4,88.2
2026-08-25,ES=F,E-MINI S&P 500 FUTURES,,Futures,49.4,73.8,24.4
2026-08-25,ESS,"ESSEX PROPERTY TRUST, INC.",Real Estate,Real Estate,-44.3,39.9,84.2
2026-08-25,ETN,EATON  PUBLIC LIMITED COMPANY,Industrials,Industrials,3.9,63.7,59.8
2026-08-25,ETR,ENTERGY ,Utilities,Utilities,-76.1,8.9,85.0
2026-08-25,EVRG,"EVERGY, INC.",Utilities,Utilities,-81.2,3.8,85.0
2026-08-25,EW,EDWARDS LIFESCIENCES ,Health Care,Health Care,34.0,94.2,60.2
2026-08-25,EWA,ISHARES:MSCI AUSTRALIA,,Foreign,55.8,72.4,16.6
2026-08-25,EWC,ISHARES:MSCI CANADA,,Foreign,83.7,90.7,7.0
2026-08-25,EWD,ISHARES:MSCI SWEDEN,,Foreign,74.9,89.9,15.0
2026-08-25,EWG,ISHARES:MSCI GERMANY,,Foreign,83.6,97.0,13.4
2026-08-25,EWH,ISHARES:MSCI HONG KONG,,Foreign,40.8,45.8,5.0
2026-08-25,EWI,ISHARES:MSCI ITALY,,Foreign,61.7,89.1,27.4
2026-08-25,EWJ,ISHARES:MSCI JAPAN,,Foreign,46.2,79.6,33.4
2026-08-25,EWK,ISHARES:MSCI BELGIUM,,Foreign,36.9,63.9,27.0
2026-08-25,EWL,ISHARES:MSCI SWITZERLAND,,Foreign,6.8,53.8,47.0
2026-08-25,EWM,ISHARES:MSCI MALAYSIA,,Foreign,60.3,67.3,7.0
2026-08-25,EWN,ISHARES:MSCI NETHERLANDS,,Foreign,21.4,80.0,58.6
2026-08-25,EWO,ISHARES:MSCI AUSTRIA,,Foreign,37.3,81.5,44.2
2026-08-25,EWP,ISHARES:MSCI SPAIN,,Foreign,20.0,78.8,58.8
2026-08-25,EWQ,ISHARES:MSCI FRANCE,,Foreign,52.8,79.6,26.8
2026-08-25,EWS,ISHARES:MSCI SINGAPORE,,Foreign,58.5,92.3,33.8
2026-08-25,EWT,ISHARES:MSCI TAIWAN,,Foreign,40.8,71.0,30.2
2026-08-25,EWU,ISHARES:MSCI UK,,Foreign,68.9,89.9,21.0
2026-08-25,EWW,ISHARES:MSCI MEXICO,,Foreign,32.8,47.4,14.6
2026-08-25,EWY,ISHARES:MSCI S KOREA,,Foreign,43.0,55.4,12.4
2026-08-25,EWZ,ISHARES:MSCI BRAZIL,,Foreign,14.9,40.3,25.4
2026-08-25,EXC,EXELON ,Utilities,Utilities,-70.1,6.9,77.0
2026-08-25,EXE,EXPAND ENERGY ,Energy,Energy,23.3,82.3,59.0
2026-08-25,EXPD,EXPEDITORS INTERNATIONAL OF WASHINGTON,Industrials,Industrials,37.9,81.3,43.4
2026-08-25,EXPE,"EXPEDIA GROUP, INC.",Consumer Discretionary,Consumer Discretionary,7.6,74.6,67.0
2026-08-25,EXR,EXTRA SPACE STORAGE INC.,Real Estate,Real Estate,-59.1,10.9,70.0
2026-08-25,F,FORD MOTOR COMPANY,Consumer Discretionary,Consumer Discretionary,12.3,14.5,2.2
2026-08-25,FANG,"DIAMONDBACK ENERGY, INC.",Energy,Energy,57.9,58.5,0.6
