Date,Ticker,Ticker_name,Category,Close,lt_pt_sm,change_pct,Ivol,rvol,prem_disc,model_score,Spread_Quad,rating,day_rr_ratio,week_rr_ratio,month_rr_ratio,day_pr_low,day_pr_high,week_pr_low,week_pr_high,month_pr_low,month_pr_high,day_dn,day_up,week_dn,week_up,month_dn,month_up
2026-07-10,AMZN,"AMAZON.COM, INC.",Consumer Discretionary,245.34,258.8,0.0549,0.4158,0.34815971,0.19427948742259682,10.0,2,Neutral,1.0906040268456338,1.0363756613756612,1.2610096670247046,233.42,258.34,215.1,276.68,198.79,304.04,-0.048585636259884324,0.05298769055188712,-0.12325752017608216,0.12774109399201117,-0.18973669193771914,0.23925980272275216
2026-07-10,ANET,"ARISTA NETWORKS, INC.",Information Technology,186.96,199.07,0.0648,0.7113,0.64652108,0.10019614518988318,-58.0,2,Sell,-3.4834983498349845,-1.766835344492021,-1.2284905249401004,165.85,193.02,141.57,212.65,130.56,232.87,-0.11291185280273863,0.032413350449294054,-0.2427792041078306,0.1374090714591356,-0.30166880616174585,0.24556054771074032
2026-07-10,AON,AON PLC,Financials,356.94,362.81,0.0164,0.2754,0.31439463,-0.1240308398397264,-68.0,4,Sell,1.7006134969325157,-1.2006129841181385,-1.8913394298009678,340.64,384.66,313.85,392.83,286.62,394.12,-0.04566593825292764,0.07766011094301573,-0.12072056928335284,0.1005491118955566,-0.19700790048747685,0.10416316467753695
2026-07-10,AOS,A. O. SMITH ,Industrials,60.44,62.54,0.0347,0.313,0.33909536,-0.07695581561481701,-58.0,4,Sell,-1.0434782608695636,1.1024498886414273,-1.053571428571429,57.32,63.43,55.95,65.39,50.41,69.96,-0.05162144275314362,0.04947054930509598,-0.07428855062872264,0.08189940436796839,-0.1659497021839842,0.15751158173395097
2026-07-10,APA,APA ,Energy,33.44,36.28,0.0849,0.4992,0.44374012,0.12498279398310874,32.0,2,Buy,1.5000000000000024,-1.5442176870748272,1.8284839203675358,31.96,35.66,28.9,36.38,26.91,45.38,-0.04425837320574155,0.06638755980861233,-0.13576555023923442,0.0879186602870814,-0.19527511961722477,0.35705741626794274
2026-07-10,APD,"AIR PRODUCTS AND CHEMICALS, INC.",Materials,299.53,312.75,0.0441,0.2872,0.39003666,-0.2636589596475366,-40.0,4,Sell,1.9259974259974308,1.229061270376617,-1.1551563229118047,283.99,329.46,263.95,343.26,250.02,342.39,-0.05188128067305431,0.09992321303375284,-0.11878609822054553,0.14599539278202522,-0.1652922912563014,0.1430908423196342
2026-07-10,APH,AMPHENOL ,Information Technology,159.06,187.11,0.1763,0.5754,0.44783574,0.284846091113675,-2.0,1,Neutral,1.3137931034482784,2.6894223555888943,1.8824735223778604,150.36,170.49,145.73,194.91,129.79,214.16,-0.05469634100339482,0.07185967559411544,-0.08380485351439715,0.22538664654847218,-0.18401860932981273,0.3464101596881679
2026-07-10,APO,"APOLLO GLOBAL MANAGEMENT, INC.",Financials,120.34,128.48,0.0676,0.3622,0.36185941,0.0009412218960951346,31.0,2,Buy,-2.504524886877829,1.06842435655995,1.416027280477408,109.27,124.76,104.41,137.36,96.88,153.56,-0.09198936347016795,0.03672926707661617,-0.13237493767658304,0.14143260761176668,-0.19494764832973244,0.2760511882998171
2026-07-10,APP,APPLOVIN CORP,Information Technology,506.98,740.46,0.4605,0.7965,0.69979593,0.13818895745792648,37.0,1,Buy,2.244652003615547,2.810223154682434,3.2550032278889605,473.79,581.48,454.55,654.32,383.06,910.34,-0.06546609333701525,0.14694859757781376,-0.10341630833563453,0.2906229042565782,-0.24442778807842525,0.7956132391810329
2026-07-10,APTV,APTIV PLC,Consumer Discretionary,60.57,62.1,0.0253,0.5077,0.39570386,0.2830301933370072,57.0,1,Buy,-11.8571428571428,1.037755102040816,1.7231245166279965,55.59,60.99,50.77,70.74,47.64,82.85,-0.08221892025755317,0.006934125804853863,-0.16179626877992404,0.16790490341753328,-0.21347201584943043,0.3678388641241537
2026-07-10,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",Real Estate,47.88,48.52,0.0134,0.4292,0.41446753,0.03554553477325495,14.0,1,Neutral,1.617777777777778,7.347222222222197,1.3767840152235957,45.63,51.52,46.44,58.46,37.37,62.35,-0.046992481203007475,0.07602339181286544,-0.03007518796992492,0.22096908939014193,-0.21950710108604854,0.3022138680033417
2026-07-10,ARES,ARES MANAGEMENT CORP,Financials,121.81,122.25,0.0036,0.4792,0.45937651,0.04315303366295331,3.0,2,Neutral,-2.426443202979514,-1.487787356321841,1.0679098246590593,108.78,127.18,101.1,135.73,85.88,160.18,-0.1069698711107463,0.04408505048846578,-0.17001888186519998,0.11427633199244713,-0.2949675724488958,0.31499876857400877
2026-07-10,ASC,ARDMORE SHIPPING ,MR Discretion,16.39,16.5,0.0067,0.5127,0.5822452,-0.11944314869405526,-49.0,4,Sell,-2.7448979591836737,-2.799999999999999,-1.3567567567567573,13.7,17.37,12.75,17.69,11.37,20.09,-0.164124466137889,0.059792556436851774,-0.22208663819402075,0.07931665649786468,-0.30628431970713854,0.22574740695546058
