Ticker,Date,Zscore,prem_disc
GPC,2026-07-13,1.45,-0.3086
GPN,2026-08-11,-1.06,-0.1187
GPN,2026-07-13,-0.85,0.0831
GREK,2026-08-11,-0.29,-0.1299
GREK,2026-07-13,-0.15,-0.2105
GRMN,2026-08-11,1.04,-0.6007
GRMN,2026-07-13,-1.5,0.8445
GS,2026-08-11,0.79,-0.3171
GS,2026-07-13,-2.01,0.1606
GWW,2026-08-11,1.06,-0.1673
GWW,2026-07-13,0.73,0.2691
HAL,2026-08-11,1.84,0.0153
HAL,2026-07-13,-0.31,0.1175
HAS,2026-08-11,0.52,-0.3073
HAS,2026-07-13,-0.2,0.7253
HBAN,2026-08-11,0.22,0.166
HBAN,2026-07-13,-1.06,0.0338
HCA,2026-08-11,0.1,-0.3536
HCA,2026-07-13,1.47,0.4428
HD,2026-08-11,-0.81,0.2326
HD,2026-07-13,0.86,-0.0851
HIG,2026-08-11,0.13,-0.0862
HIG,2026-07-13,-2.2,0.2298
HII,2026-08-11,1.1,-0.504
HII,2026-07-13,-1.56,0.4606
HLT,2026-08-11,0.4,0.0277
HLT,2026-07-13,0.47,0.3746
HLX,2026-08-11,1.59,0.3357
HLX,2026-07-13,-1.69,0.7603
HON,2026-08-11,2.19,-0.1635
HON,2026-07-13,-3.17,0.021
HOOD,2026-08-11,-1.12,-0.0255
HOOD,2026-07-13,-1.43,0.0542
HPE,2026-08-11,-2.3,0.6174
HPE,2026-07-13,-1.28,0.1747
HPQ,2026-08-11,1.66,0.1447
HPQ,2026-07-13,-1.06,0.3394
HRL,2026-08-11,-1.29,0.2446
HRL,2026-07-13,-0.77,-0.2722
HSIC,2026-08-11,-1.79,0.462
HSIC,2026-07-13,1.34,0.3192
HST,2026-08-11,1.93,-0.1488
HST,2026-07-13,0.8,-0.0254
HSY,2026-08-11,-1.08,0.0924
HSY,2026-07-13,-0.03,-0.0326
HUBB,2026-08-11,-0.53,-0.0284
HUBB,2026-07-13,0.92,-0.0427
HUM,2026-08-11,1.49,0.0706
