Date,Ticker,Ticker_name,Exposure,Category,model_score_mtd_change,current_model_score,previous_model_score
2026-07-16,EWA,ISHARES:MSCI AUSTRALIA,,Foreign,-39.0,-28.0,11.0
2026-07-16,EWC,ISHARES:MSCI CANADA,,Foreign,-3.0,4.0,7.0
2026-07-16,EWD,ISHARES:MSCI SWEDEN,,Foreign,-42.0,4.0,46.0
2026-07-16,EWG,ISHARES:MSCI GERMANY,,Foreign,-40.0,-32.0,8.0
2026-07-16,EWH,ISHARES:MSCI HONG KONG,,Foreign,-18.0,-15.0,3.0
2026-07-16,EWI,ISHARES:MSCI ITALY,,Foreign,-32.0,4.0,36.0
2026-07-16,EWJ,ISHARES:MSCI JAPAN,,Foreign,-11.0,20.0,31.0
2026-07-16,EWK,ISHARES:MSCI BELGIUM,,Foreign,11.0,47.0,36.0
2026-07-16,EWL,ISHARES:MSCI SWITZERLAND,,Foreign,-2.0,-26.0,-24.0
2026-07-16,EWM,ISHARES:MSCI MALAYSIA,,Foreign,-40.0,3.0,43.0
2026-07-16,EWN,ISHARES:MSCI NETHERLANDS,,Foreign,19.0,8.0,-11.0
2026-07-16,EWO,ISHARES:MSCI AUSTRIA,,Foreign,15.0,37.0,22.0
2026-07-16,EWP,ISHARES:MSCI SPAIN,,Foreign,40.0,36.0,-4.0
2026-07-16,EWQ,ISHARES:MSCI FRANCE,,Foreign,22.0,36.0,14.0
2026-07-16,EWS,ISHARES:MSCI SINGAPORE,,Foreign,-66.0,-37.0,29.0
2026-07-16,EWT,ISHARES:MSCI TAIWAN,,Foreign,-9.0,22.0,31.0
2026-07-16,EWU,ISHARES:MSCI UK,,Foreign,-18.0,-10.0,8.0
2026-07-16,EWW,ISHARES:MSCI MEXICO,,Foreign,-27.0,20.0,47.0
2026-07-16,EWY,ISHARES:MSCI S KOREA,,Foreign,-58.0,3.0,61.0
2026-07-16,EWZ,ISHARES:MSCI BRAZIL,,Foreign,-43.0,4.0,47.0
2026-07-16,EXC,EXELON ,Utilities,Utilities,71.0,30.0,-41.0
2026-07-16,EXE,EXPAND ENERGY ,Energy,Energy,-25.0,-5.0,20.0
2026-07-16,EXPD,EXPEDITORS INTERNATIONAL OF WASHINGTON,Industrials,Industrials,-29.0,-12.0,17.0
2026-07-16,EXPE,"EXPEDIA GROUP, INC.",Consumer Discretionary,Consumer Discretionary,-49.0,-52.0,-3.0
2026-07-16,EXR,EXTRA SPACE STORAGE INC.,Real Estate,Real Estate,-34.0,-40.0,-6.0
2026-07-16,F,FORD MOTOR COMPANY,Consumer Discretionary,Consumer Discretionary,-8.0,31.0,39.0
2026-07-16,FANG,"DIAMONDBACK ENERGY, INC.",Energy,Energy,19.0,7.0,-12.0
2026-07-16,FAST,FASTENAL COMPANY,Industrials,Industrials,21.0,-9.0,-30.0
2026-07-16,FCX,FREEPORT-MCMORAN INC.,Materials,Materials,-7.0,35.0,42.0
2026-07-16,FDS,FACTSET RESEARCH SYSTEMS INC.,Financials,Financials,25.0,-24.0,-49.0
2026-07-16,FDX,FEDEX ,Industrials,Industrials,50.0,27.0,-23.0
2026-07-16,FE,FIRSTENERGY CORP.,Utilities,Utilities,25.0,-3.0,-28.0
2026-07-16,FFIV,"F5, INC.",Information Technology,Information Technology,-51.0,7.0,58.0
2026-07-16,FICO,FAIR ISAAC ,Information Technology,Information Technology,-26.0,-31.0,-5.0
2026-07-16,FIS,FIDELITY NATIONAL INFORMATION SERVICES,Financials,Financials,-86.0,-46.0,40.0
2026-07-16,FISV,"FISERV, INC.",Financials,Financials,-28.0,-24.0,4.0
2026-07-16,FITB,FIFTH THIRD BANCORP,Financials,Financials,39.0,-40.0,-79.0
2026-07-16,FIX,"COMFORT SYSTEMS USA, INC.",Industrials,Industrials,-88.0,-11.0,77.0
2026-07-16,FLEX,FLEX LTD.,Information Technology,Information Technology,-33.0,-11.0,22.0
2026-07-16,FOXA,FOX ,Communication Services,Communication Services,-14.0,-14.0,0.0
2026-07-16,FRO,FRONTLINE PLC,,MR Discretion,25.0,28.0,3.0
2026-07-16,FRT,FEDERAL REALTY INVESTMENT TRUST,Real Estate,Real Estate,-58.0,-41.0,17.0
2026-07-16,FSLR,"FIRST SOLAR, INC.",Information Technology,Information Technology,-62.0,-35.0,27.0
2026-07-16,FTI,TECHNIPFMC PLC,,MR Discretion,18.0,55.0,37.0
2026-07-16,FTNT,"FORTINET, INC.",Information Technology,Information Technology,17.0,42.0,25.0
2026-07-16,FTV,FORTIVE ,Industrials,Industrials,-22.0,-27.0,-5.0
2026-07-16,FVX,5 YR TSY YLD NDX,Yields,Yields,26.0,18.0,-8.0
2026-07-16,FXA,INVESCO:AU DOLLAR,,Currencies,-19.0,4.0,23.0
2026-07-16,FXB,INVESCO:GBP STERLING,,Currencies,-48.0,-1.0,47.0
2026-07-16,FXC,INVESCO:CANADIAN DOLLAR,,Currencies,-47.0,-3.0,44.0
2026-07-16,FXE,INVESCO:EURO,,Currencies,-49.0,12.0,61.0
2026-07-16,FXY,INVESCO:JAPANESE YEN,,Currencies,38.0,47.0,9.0
2026-07-16,GD,GENERAL DYNAMICS ,Industrials,Industrials,-9.0,-37.0,-28.0
2026-07-16,GDDY,GODADDY INC.,Information Technology,Information Technology,-9.0,-9.0,-0.0
2026-07-16,GDX,VANECK:GOLD MINERS,,Commodities,9.0,9.0,0.0
2026-07-16,GDXJ,VANECK:JR GOLD MINERS,,Commodities,-19.0,-19.0,0.0
2026-07-16,GE,GENERAL ELECTRIC COMPANY,Industrials,Industrials,32.0,-8.0,-40.0
2026-07-16,GEHC,GE HEALTHCARE TECHNOLOGIES INC.,Health Care,Health Care,-41.0,-70.0,-29.0
2026-07-16,GEN,GEN DIGITAL INC.,Information Technology,Information Technology,-59.0,-48.0,11.0
2026-07-16,GEOS,GEOSPACE TECHNOLOGIES ,,MR Discretion,17.0,-3.0,-20.0
2026-07-16,GEV,GE VERNOVA INC.,Industrials,Industrials,52.0,34.0,-18.0
2026-07-16,GGB,GERDAU SA,,MR Discretion,-46.0,6.0,52.0
2026-07-16,GILD,"GILEAD SCIENCES, INC.",Health Care,Health Care,-66.0,-20.0,46.0
2026-07-16,GIS,"GENERAL MILLS, INC.",Consumer Staples,Consumer Staples,60.0,-17.0,-77.0
2026-07-16,GL,GLOBE LIFE INC.,Financials,Financials,13.0,16.0,3.0
2026-07-16,GLATF,GLOBAL ATOMIC ,,MR Discretion,-19.0,18.0,37.0
2026-07-16,GLD,SPDR GOLD,Gold,Commodities,-22.0,-22.0,-0.0
2026-07-16,GLW,CORNING INC.,Information Technology,Information Technology,-43.0,-10.0,33.0
2026-07-16,GM,GENERAL MOTORS COMPANY,Consumer Discretionary,Consumer Discretionary,-90.0,-27.0,63.0
