Date,Ticker,Ticker_name,Exposure,Category,Sharpe_Rank_mtd_change,current_Sharpe_Rank,previous_Sharpe_Rank
2026-06-29,EXPD,EXPEDITORS INTERNATIONAL OF WASHINGTON,Industrials,Industrials,-10.7,49.4,60.1
2026-06-29,EXPE,"EXPEDIA GROUP, INC.",Consumer Discretionary,Consumer Discretionary,72.2,84.3,12.1
2026-06-29,EXR,EXTRA SPACE STORAGE INC.,Real Estate,Real Estate,12.7,64.9,52.2
2026-06-29,F,FORD MOTOR COMPANY,Consumer Discretionary,Consumer Discretionary,-97.6,1.4,99.0
2026-06-29,FANG,"DIAMONDBACK ENERGY, INC.",Energy,Energy,5.7,10.7,5.0
2026-06-29,FAST,FASTENAL COMPANY,Industrials,Industrials,54.3,82.3,28.0
2026-06-29,FCX,FREEPORT-MCMORAN INC.,Materials,Materials,-48.8,22.4,71.2
2026-06-29,FDS,FACTSET RESEARCH SYSTEMS INC.,Financials,Financials,-34.1,49.4,83.5
2026-06-29,FDX,FEDEX ,Industrials,Industrials,-18.4,16.9,35.3
2026-06-29,FE,FIRSTENERGY CORP.,Utilities,Utilities,27.0,59.7,32.7
2026-06-29,FFIV,"F5, INC.",Information Technology,Information Technology,-25.0,73.2,98.2
2026-06-29,FICO,FAIR ISAAC ,Information Technology,Information Technology,-51.6,44.2,95.8
2026-06-29,FIS,FIDELITY NATIONAL INFORMATION SERVICES,Financials,Financials,-15.3,23.0,38.3
2026-06-29,FISV,"FISERV, INC.",Financials,Financials,0.2,36.3,36.1
2026-06-29,FITB,FIFTH THIRD BANCORP,Financials,Financials,52.3,82.3,30.0
2026-06-29,FIX,"COMFORT SYSTEMS USA, INC.",Industrials,Industrials,20.3,27.6,7.3
2026-06-29,FLEX,FLEX LTD.,Information Technology,Information Technology,-36.1,37.5,73.6
2026-06-29,FOXA,FOX ,Communication Services,Communication Services,-23.0,11.3,34.3
2026-06-29,FRO,FRONTLINE PLC,,MR Discretion,24.2,36.3,12.1
2026-06-29,FRT,FEDERAL REALTY INVESTMENT TRUST,Real Estate,Real Estate,-15.5,76.0,91.5
2026-06-29,FSLR,"FIRST SOLAR, INC.",Information Technology,Information Technology,-98.8,0.6,99.4
2026-06-29,FTI,TECHNIPFMC PLC,,MR Discretion,10.3,16.1,5.8
2026-06-29,FTNT,"FORTINET, INC.",Information Technology,Information Technology,-16.5,82.9,99.4
2026-06-29,FTV,FORTIVE ,Industrials,Industrials,41.1,68.1,27.0
2026-06-29,FVX,5 YR TSY YLD NDX,Yields,Yields,-28.5,43.1,71.6
2026-06-29,FXA,INVESCO:AU DOLLAR,,Currencies,-27.0,0.2,27.2
2026-06-29,FXB,INVESCO:GBP STERLING,,Currencies,-8.8,19.6,28.4
2026-06-29,FXC,INVESCO:CANADIAN DOLLAR,,Currencies,-3.6,1.4,5.0
2026-06-29,FXE,INVESCO:EURO,,Currencies,-22.3,7.3,29.6
2026-06-29,FXY,INVESCO:JAPANESE YEN,,Currencies,-28.9,2.6,31.5
2026-06-29,GD,GENERAL DYNAMICS ,Industrials,Industrials,-1.6,35.5,37.1
2026-06-29,GDDY,GODADDY INC.,Information Technology,Information Technology,3.6,78.0,74.4
2026-06-29,GDX,VANECK:GOLD MINERS,,Commodities,-30.1,5.4,35.5
2026-06-29,GDXJ,VANECK:JR GOLD MINERS,,Commodities,-33.3,6.2,39.5
2026-06-29,GE,GENERAL ELECTRIC COMPANY,Industrials,Industrials,14.7,89.9,75.2
2026-06-29,GEHC,GE HEALTHCARE TECHNOLOGIES INC.,Health Care,Health Care,10.7,72.4,61.7
2026-06-29,GEN,GEN DIGITAL INC.,Information Technology,Information Technology,-46.0,53.8,99.8
2026-06-29,GEOS,GEOSPACE TECHNOLOGIES ,,MR Discretion,-23.1,7.3,30.4
2026-06-29,GEV,GE VERNOVA INC.,Industrials,Industrials,65.1,68.1,3.0
2026-06-29,GGB,GERDAU SA,,MR Discretion,-7.1,13.7,20.8
