Date,Ticker,Ticker_name,Exposure,Category,model_score_wtd_change,current_model_score,previous_model_score
2026-05-19,HOOD,"ROBINHOOD MARKETS, INC.",Financials,Financials,-36.0,-22.0,14.0
2026-05-19,HPE,HEWLETT PACKARD ENTERPRISE COMPANY,Information Technology,Information Technology,27.0,13.0,-14.0
2026-05-19,HPQ,HP INC.,Information Technology,Information Technology,9.0,-19.0,-28.0
2026-05-19,HRL,HORMEL FOODS ,Consumer Staples,Consumer Staples,43.0,35.0,-8.0
2026-05-19,HSIC,"HENRY SCHEIN, INC.",Health Care,Health Care,23.0,46.0,23.0
2026-05-19,HST,"HOST HOTELS & RESORTS, INC.",Real Estate,Real Estate,-16.0,-17.0,-1.0
2026-05-19,HSY,THE HERSHEY COMPANY,Consumer Staples,Consumer Staples,6.0,10.0,4.0
2026-05-19,HUBB,HUBBELL INC.,Industrials,Industrials,-2.0,-20.0,-18.0
2026-05-19,HUM,HUMANA INC.,Health Care,Health Care,-28.0,-51.0,-23.0
2026-05-19,HWM,HOWMET AEROSPACE INC.,Industrials,Industrials,5.0,3.0,-2.0
2026-05-19,HYD,VANECK:HIGH YIELD MUNI,,Bonds,42.0,9.0,-33.0
2026-05-19,HYG,ISHARES:IBOXX $HY CORP,Bonds,Bonds,21.0,9.0,-12.0
2026-05-19,IBKR,"INTERACTIVE BROKERS GROUP, INC.",Financials,Financials,20.0,26.0,6.0
2026-05-19,IBM,INTERNATIONAL BUSINESS MACHINES ,Information Technology,Information Technology,9.0,-22.0,-31.0
2026-05-19,ICE,"INTERCONTINENTAL EXCHANGE, INC.",Financials,Financials,-27.0,-5.0,22.0
2026-05-19,ICL,ICL GROUP LTD,,MR Discretion,12.0,-39.0,-51.0
2026-05-19,IDXX,"IDEXX LABORATORIES, INC.",Health Care,Health Care,-1.0,38.0,39.0
2026-05-19,IEF,ISHARES:7-10 TRS BD ETF,Bonds,Bonds,14.0,27.0,13.0
2026-05-19,IEX,IDEX ,Industrials,Industrials,15.0,16.0,1.0
2026-05-19,IFF,INTERNATIONAL FLAVORS & FRAGRANCES INC.,Materials,Materials,6.0,-19.0,-25.0
2026-05-19,INCY,INCYTE ,Health Care,Health Care,-26.0,28.0,54.0
2026-05-19,INDA,ISHARES:MSCI INDIA,,Foreign,-11.0,-17.0,-6.0
2026-05-19,INTC,INTEL ,Information Technology,Information Technology,6.0,19.0,13.0
2026-05-19,INTU,INTUIT INC.,Information Technology,Information Technology,0.0,7.0,7.0
2026-05-19,INVH,INVITATION HOMES INC.,Real Estate,Real Estate,-23.0,-60.0,-37.0
2026-05-19,IP,INTERNATIONAL PAPER COMPANY,Materials,Materials,0.0,-2.0,-2.0
2026-05-19,IQV,IQVIA HOLDINGS INC,Health Care,Health Care,-70.0,-38.0,32.0
2026-05-19,IR,INGERSOLL RAND INC.,Industrials,Industrials,50.0,24.0,-26.0
2026-05-19,IRM,IRON MOUNTAIN INC.,Real Estate,Real Estate,25.0,23.0,-2.0
2026-05-19,ISRG,"INTUITIVE SURGICAL, INC.",Health Care,Health Care,19.0,-6.0,-25.0
