Date,Ticker,Ticker_name,Exposure,Category,Sharpe_Rank_wtd_change,current_Sharpe_Rank,previous_Sharpe_Rank
2026-07-16,MPWR,"MONOLITHIC POWER SYSTEMS, INC.",Information Technology,Information Technology,-5.9,14.5,20.4
2026-07-16,MRK,"MERCK & CO., INC.",Health Care,Health Care,33.8,80.8,47.0
2026-07-16,MRNA,"MODERNA, INC.",Health Care,Health Care,-32.2,58.9,91.1
2026-07-16,MRSH,"MARSH & MCLENNAN COMPANIES, INC.",Financials,Financials,4.7,97.4,92.7
2026-07-16,MRVL,"MARVELL TECHNOLOGY, INC.",Information Technology,Information Technology,-22.8,1.4,24.2
2026-07-16,MS,MORGAN STANLEY,Financials,Financials,-37.5,20.4,57.9
2026-07-16,MSCI,MSCI INC.,Financials,Financials,27.7,71.2,43.5
2026-07-16,MSFT,MICROSOFT ,Information Technology,Information Technology,22.2,70.0,47.8
2026-07-16,MSI,"MOTOROLA SOLUTIONS, INC.",Information Technology,Information Technology,-5.5,55.4,60.9
2026-07-16,MTB,M&T BANK ,Financials,Financials,18.6,97.4,78.8
2026-07-16,MTD,METTLER-TOLEDO INTERNATIONAL INC.,Health Care,Health Care,2.0,99.4,97.4
2026-07-16,MTUM,ISHARES:MSCI USA MOM FCT,,Sector & Style ETFs,-46.5,8.5,55.0
2026-07-16,MU,"MICRON TECHNOLOGY, INC.",Information Technology,Information Technology,-22.9,8.1,31.0
2026-07-16,MUB,ISHARES:NATL MUNI BOND,,Bonds,-32.1,13.7,45.8
2026-07-16,NCLH,NORWEGIAN CRUISE LINE HOLDINGS LTD.,Consumer Discretionary,Consumer Discretionary,-35.1,37.9,73.0
2026-07-16,NDAQ,"NASDAQ, INC.",Financials,Financials,9.5,64.5,55.0
2026-07-16,NDSN,NORDSON ,Industrials,Industrials,-17.0,28.4,45.4
2026-07-16,NDX,NASDAQ 100 INDEX,,Indices,-48.0,12.5,60.5
2026-07-16,NEE,"NEXTERA ENERGY, INC.",Utilities,Utilities,1.2,74.4,73.2
2026-07-16,NEM,NEWMONT ,Materials,Materials,-39.7,3.0,42.7
2026-07-16,NFLX,"NETFLIX, INC.",Communication Services,Communication Services,19.8,57.7,37.9
2026-07-16,NI,NISOURCE INC.,Utilities,Utilities,-24.2,20.4,44.6
2026-07-16,NKE,"NIKE, INC.",Consumer Discretionary,Consumer Discretionary,-9.9,61.7,71.6
2026-07-16,NOC,NORTHROP GRUMMAN ,Industrials,Industrials,-13.9,32.7,46.6
2026-07-16,NORW,GLBL X MSCI NORWAY ETF,,Foreign,3.4,9.7,6.3
2026-07-16,NOV,NOV INC.,,MR Discretion,20.6,22.0,1.4
2026-07-16,NOW,"SERVICENOW, INC.",Information Technology,Information Technology,1.4,77.0,75.6
2026-07-16,NQ=F,NASDAQ 100 FUTURES,,Futures,-58.0,8.9,66.9
2026-07-16,NRG,"NRG ENERGY, INC.",Utilities,Utilities,-40.0,54.6,94.6
2026-07-16,NSC,NORFOLK SOUTHERN ,Industrials,Industrials,10.7,87.1,76.4
2026-07-16,NTAP,"NETAPP, INC.",Information Technology,Information Technology,-26.6,41.1,67.7
2026-07-16,NTRS,NORTHERN TRUST ,Financials,Financials,-4.0,87.5,91.5
2026-07-16,NUE,NUCOR ,Materials,Materials,0.0,12.9,12.9
2026-07-16,NVDA,NVIDIA ,Information Technology,Information Technology,-23.8,39.9,63.7
2026-07-16,NVR,"NVR, INC.",Consumer Discretionary,Consumer Discretionary,6.0,65.7,59.7
2026-07-16,NWSA,NEWS CORP.,Communication Services,Communication Services,38.2,93.8,55.6
2026-07-16,NXPI,NXP SEMICONDUCTORS NV,Information Technology,Information Technology,-31.2,21.4,52.6
2026-07-16,O,REALTY INCOME ,Real Estate,Real Estate,19.5,78.0,58.5
2026-07-16,ODFL,"OLD DOMINION FREIGHT LINE, INC.",Industrials,Industrials,20.3,53.4,33.1
2026-07-16,OEF,ISHARES:S&P 100,,Sector & Style ETFs,-22.6,43.5,66.1
2026-07-16,OKE,"ONEOK, INC.",Energy,Energy,42.1,86.3,44.2
2026-07-16,OMC,OMNICOM GROUP INC.,Communication Services,Communication Services,-6.0,84.7,90.7
2026-07-16,ON,ON SEMICONDUCTOR ,Information Technology,Information Technology,-11.9,11.7,23.6
2026-07-16,ORCL,ORACLE ,Information Technology,Information Technology,-3.6,0.6,4.2
2026-07-16,ORLY,"O'REILLY AUTOMOTIVE, INC.",Consumer Discretionary,Consumer Discretionary,2.6,36.1,33.5
2026-07-16,OTIS,OTIS WORLDWIDE ,Industrials,Industrials,-19.9,69.6,89.5
2026-07-16,OXY,OCCIDENTAL PETROLEUM ,Energy,Energy,29.7,46.6,16.9
2026-07-16,PAM,PAMPA ENERGIA SA,,MR Discretion,-27.2,20.0,47.2
2026-07-16,PANW,"PALO ALTO NETWORKS, INC.",Information Technology,Information Technology,2.3,81.9,79.6
2026-07-16,PAYX,"PAYCHEX, INC.",Industrials,Industrials,7.5,99.8,92.3
2026-07-16,PBR,BRAZILIAN PETROLEUM  - PETROBRAS,,MR Discretion,19.3,54.8,35.5
2026-07-16,PCAR,PACCAR INC,Industrials,Industrials,-19.1,56.9,76.0
2026-07-16,PCG,PG&E ,Utilities,Utilities,9.1,75.6,66.5
2026-07-16,PEG,PUBLIC SERVICE ENTERPRISE GROUP INC.,Utilities,Utilities,-41.3,35.1,76.4
2026-07-16,PEP,"PEPSICO, INC.",Consumer Staples,Consumer Staples,4.8,41.1,36.3
2026-07-16,PFE,PFIZER INC.,Health Care,Health Care,12.7,27.6,14.9
2026-07-16,PFF,ISHARES:PREF AND INC SEC,,Bonds,-22.2,15.7,37.9
2026-07-16,PFG,"PRINCIPAL FINANCIAL GROUP, INC.",Financials,Financials,-3.6,33.9,37.5
2026-07-16,PG,THE PROCTER & GAMBLE COMPANY,Consumer Staples,Consumer Staples,5.8,55.6,49.8
2026-07-16,PGR,THE PROGRESSIVE ,Financials,Financials,-32.3,62.1,94.4
2026-07-16,PH,PARKER-HANNIFIN ,Industrials,Industrials,-44.0,37.9,81.9
2026-07-16,PHM,"PULTEGROUP, INC.",Consumer Discretionary,Consumer Discretionary,-3.2,49.4,52.6
2026-07-16,PKG,PACKAGING  OF AMERICA,Materials,Materials,-14.3,52.6,66.9
2026-07-16,PLD,"PROLOGIS, INC.",Real Estate,Real Estate,36.5,49.0,12.5
2026-07-16,PLTR,PALANTIR TECHNOLOGIES INC.,Information Technology,Information Technology,12.7,57.7,45.0
2026-07-16,PM,PHILIP MORRIS INTERNATIONAL INC.,Consumer Staples,Consumer Staples,10.3,63.7,53.4
2026-07-16,PNC,"THE PNC FINANCIAL SERVICES GROUP, INC.",Financials,Financials,12.3,82.3,70.0
2026-07-16,PNR,PENTAIR PUBLIC LIMITED COMPANY,Industrials,Industrials,-66.7,24.4,91.1
2026-07-16,PNW,PINNACLE WEST CAPITAL ,Utilities,Utilities,-1.6,71.2,72.8
2026-07-16,PODD,INSULET ,Health Care,Health Care,4.4,90.3,85.9
2026-07-16,POWA,INVESCO BLOOMBERG PRICING POWER,,Sector & Style ETFs,-10.3,72.4,82.7
2026-07-16,PPG,"PPG INDUSTRIES, INC.",Materials,Materials,-9.9,41.5,51.4
2026-07-16,PPL,PPL ,Utilities,Utilities,-1.9,42.3,44.2
2026-07-16,PPLT,ABRDN:PHYSICAL PLATINUM,,Commodities,-30.6,9.3,39.9
2026-07-16,PRU,"PRUDENTIAL FINANCIAL, INC.",Financials,Financials,-7.6,85.5,93.1
2026-07-16,PSA,PUBLIC STORAGE.,Real Estate,Real Estate,15.5,54.2,38.7
2026-07-16,PSKY,PARAMOUNT SKYDANCE ,Communication Services,Communication Services,-2.8,22.8,25.6
2026-07-16,PSX,PHILLIPS 66,Energy,Energy,44.8,95.8,51.0
2026-07-16,PTC,PTC INC.,Information Technology,Information Technology,40.9,90.3,49.4
2026-07-16,PWR,"QUANTA SERVICES, INC.",Industrials,Industrials,-30.1,3.4,33.5
2026-07-16,PYPL,"PAYPAL HOLDINGS, INC.",Financials,Financials,0.0,97.0,97.0
2026-07-16,Q,"QNITY ELECTRONICS, INC.",Information Technology,Information Technology,-22.0,9.7,31.7
2026-07-16,QAT,ISHARES:MSCI QATAR,,Foreign,-0.4,8.1,8.5
2026-07-16,QCOM,QUALCOMM INC.,Information Technology,Information Technology,-35.5,10.9,46.4
2026-07-16,QQQ,INVESCO QQQ TRUST 1,,Sector & Style ETFs,-46.6,13.1,59.7
2026-07-16,QUAL,ISHARES:MSCI USA QF,,Sector & Style ETFs,-30.3,43.7,74.0
2026-07-16,RCL,ROYAL CARIBBEAN CRUISES LTD.,Consumer Discretionary,Consumer Discretionary,-36.5,29.2,65.7
2026-07-16,REG,REGENCY CENTERS ,Real Estate,Real Estate,35.9,76.6,40.7
2026-07-16,REGN,"REGENERON PHARMACEUTICALS, INC.",Health Care,Health Care,1.2,92.7,91.5
2026-07-16,RF,REGIONS FINANCIAL ,Financials,Financials,13.8,94.2,80.4
2026-07-16,RIG,TRANSOCEAN LTD,,MR Discretion,4.0,11.7,7.7
2026-07-16,RJF,"RAYMOND JAMES FINANCIAL, INC.",Financials,Financials,-10.4,82.7,93.1
2026-07-16,RL,RALPH LAUREN ,Consumer Discretionary,Consumer Discretionary,-44.0,12.5,56.5
2026-07-16,RMD,RESMED INC.,Health Care,Health Care,-2.4,76.0,78.4
2026-07-16,ROK,"ROCKWELL AUTOMATION, INC.",Industrials,Industrials,-24.2,35.5,59.7
2026-07-16,ROKU,"ROKU, INC.",,MR Discretion,-3.2,70.0,73.2
