Date,Ticker,Ticker_name,Exposure,Category,model_score
2026-05-26,STLD,"STEEL DYNAMICS, INC.",Materials,Materials,-23.0
2026-05-26,STNG,SCORPIO TANKERS INC.,,MR Discretion,19.0
2026-05-26,STT,STATE STREET ,Financials,Financials,20.0
2026-05-26,STX,SEAGATE TECHNOLOGY HOLDINGS,Information Technology,Information Technology,49.0
2026-05-26,STZ,"CONSTELLATION BRANDS, INC.",Consumer Staples,Consumer Staples,-5.0
2026-05-26,SW,SMURFIT WESTROCK PUBLIC LIMITED COMPANY,Materials,Materials,-22.0
2026-05-26,SWK,"STANLEY BLACK & DECKER, INC.",Industrials,Industrials,-3.0
2026-05-26,SWKS,"SKYWORKS SOLUTIONS, INC.",Information Technology,Information Technology,-30.0
2026-05-26,SYF,SYNCHRONY FINANCIAL,Financials,Financials,75.0
2026-05-26,SYK,STRYKER ,Health Care,Health Care,-22.0
2026-05-26,SYY,SYSCO ,Consumer Staples,Consumer Staples,6.0
2026-05-26,T,AT&T INC.,Communication Services,Communication Services,0.0
2026-05-26,TAGS,TEUCRIUM:AGRICULTURAL,,Commodities,48.0
2026-05-26,TAP,MOLSON COORS BEVERAGE COMPANY,Consumer Staples,Consumer Staples,35.0
2026-05-26,TDG,TRANSDIGM GROUP INC.,Industrials,Industrials,-36.0
2026-05-26,TDW,TIDEWATER INC.,,MR Discretion,11.0
2026-05-26,TDY,TELEDYNE TECHNOLOGIES INC.,Information Technology,Information Technology,54.0
2026-05-26,TECH,BIO-TECHNE ,Health Care,Health Care,74.0
2026-05-26,TECK,TECK RESOURCES LIMITED,,MR Discretion,-3.0
2026-05-26,TEL,TE CONNECTIVITY LTD,Information Technology,Information Technology,29.0
2026-05-26,TER,"TERADYNE, INC.",Information Technology,Information Technology,21.0
2026-05-26,TFC,TRUIST FINANCIAL ,Financials,Financials,31.0
2026-05-26,TGT,TARGET ,Consumer Staples,Consumer Staples,11.0
2026-05-26,THD,ISHARES:MSCI THAI,,Foreign,9.0
2026-05-26,TIP,ISHARES:TIPS BD ETF,Bonds,Bonds,38.0
2026-05-26,TJX,"THE TJX COMPANIES, INC.",Consumer Discretionary,Consumer Discretionary,-12.0
2026-05-26,TKO,"TKO GROUP HOLDINGS, INC.",Communication Services,Communication Services,-25.0
2026-05-26,TLT,ISHARES:20+ TRS BD ETF,Bonds,Bonds,35.0
2026-05-26,TMO,THERMO FISHER SCIENTIFIC INC.,Health Care,Health Care,40.0
2026-05-26,TMUS,"T-MOBILE US, INC.",Communication Services,Communication Services,-62.0
2026-05-26,TNX,10 Y TSY YLD NDX,Yields,Yields,-27.0
2026-05-26,TPL,TEXAS PACIFIC LAND ,Energy,Energy,40.0
2026-05-26,TPR,"TAPESTRY, INC.",Consumer Discretionary,Consumer Discretionary,0.0
2026-05-26,TRGP,TARGA RESOURCES CORP.,Energy,Energy,-47.0
2026-05-26,TRMB,TRIMBLE INC.,Information Technology,Information Technology,-0.0
2026-05-26,TROW,"T. ROWE PRICE GROUP, INC.",Financials,Financials,-36.0
2026-05-26,TRV,"THE TRAVELERS COMPANIES, INC.",Financials,Financials,2.0
2026-05-26,TS,TENARIS SA,,MR Discretion,36.0
2026-05-26,TSCO,TRACTOR SUPPLY COMPANY,Consumer Discretionary,Consumer Discretionary,56.0
2026-05-26,TSLA,"TESLA, INC.",Consumer Discretionary,Consumer Discretionary,-6.0
2026-05-26,TSN,"TYSON FOODS, INC.",Consumer Staples,Consumer Staples,16.0
2026-05-26,TT,TRANE TECHNOLOGIES PLC,Industrials,Industrials,50.0
2026-05-26,TTD,"THE TRADE DESK, INC.",Communication Services,Communication Services,-10.0
2026-05-26,TTWO,"TAKE-TWO INTERACTIVE SOFTWARE, INC.",Communication Services,Communication Services,-13.0
2026-05-26,TUR,ISHARES:MSCI TURKEY,,Foreign,55.0
2026-05-26,TXN,TEXAS INSTRUMENTS INC.,Information Technology,Information Technology,-22.0
2026-05-26,TXT,TEXTRON INC.,Industrials,Industrials,-49.0
2026-05-26,TYL,"TYLER TECHNOLOGIES, INC.",Information Technology,Information Technology,3.0
