Date,Ticker,Ticker_name,Exposure,Category,model_score_qtd_change,current_model_score,previous_model_score
2026-05-28,IEX,IDEX ,Industrials,Industrials,26.0,39.0,13.0
2026-05-28,IFF,INTERNATIONAL FLAVORS & FRAGRANCES INC.,Materials,Materials,-70.0,-37.0,33.0
2026-05-28,INCY,INCYTE ,Health Care,Health Care,-59.0,34.0,93.0
2026-05-28,INDA,ISHARES:MSCI INDIA,,Foreign,-85.0,-37.0,48.0
2026-05-28,INTC,INTEL ,Information Technology,Information Technology,0.0,1.0,1.0
2026-05-28,INTU,INTUIT INC.,Information Technology,Information Technology,120.0,51.0,-69.0
2026-05-28,INVH,INVITATION HOMES INC.,Real Estate,Real Estate,-76.0,-40.0,36.0
2026-05-28,IP,INTERNATIONAL PAPER COMPANY,Materials,Materials,-71.0,-37.0,34.0
2026-05-28,IQV,IQVIA HOLDINGS INC,Health Care,Health Care,-36.0,-41.0,-5.0
2026-05-28,IR,INGERSOLL RAND INC.,Industrials,Industrials,-3.0,10.0,13.0
2026-05-28,IRM,IRON MOUNTAIN INC.,Real Estate,Real Estate,-84.0,-48.0,36.0
2026-05-28,ISRG,"INTUITIVE SURGICAL, INC.",Health Care,Health Care,-35.0,-51.0,-16.0
2026-05-28,IT,"GARTNER, INC.",Information Technology,Information Technology,-29.0,-50.0,-21.0
2026-05-28,ITW,ILLINOIS TOOL WORKS INC.,Industrials,Industrials,16.0,47.0,31.0
2026-05-28,IVZ,INVESCO LTD.,Financials,Financials,-78.0,-20.0,58.0
2026-05-28,IWD,ISHARES:RUSS 1000 VL ETF,,Sector & Style ETFs,-55.0,-35.0,20.0
2026-05-28,IWF,ISHARES:RUSS 1000 GR ETF,,Sector & Style ETFs,-40.0,-26.0,14.0
2026-05-28,IWM,ISHARES:RUSS 2000 ETF,,Sector & Style ETFs,-75.0,-27.0,48.0
2026-05-28,J,JACOBS SOLUTIONS INC.,Industrials,Industrials,-1.0,18.0,19.0
2026-05-28,JBHT,"J. B. HUNT TRANSPORT SERVICES, INC.",Industrials,Industrials,-58.0,4.0,62.0
2026-05-28,JBL,JABIL INC.,Information Technology,Information Technology,80.0,46.0,-34.0
2026-05-28,JCI,JOHNSON CONTROLS INTERNATIONAL PLC,Industrials,Industrials,79.0,71.0,-8.0
2026-05-28,JKHY,"JACK HENRY & ASSOCIATES, INC.",Financials,Financials,56.0,48.0,-8.0
2026-05-28,JNJ,JOHNSON & JOHNSON,Health Care,Health Care,-55.0,22.0,77.0
2026-05-28,JNK,SPDR BBG HIGH YIELD BD,,Bonds,-22.0,-19.0,3.0
2026-05-28,JPM,JPMORGAN CHASE & CO.,Financials,Financials,50.0,56.0,6.0
2026-05-28,KDP,KEURIG DR PEPPER INC.,Consumer Staples,Consumer Staples,-76.0,-46.0,30.0
2026-05-28,KEY,KEYCORP,Financials,Financials,-38.0,10.0,48.0
2026-05-28,KEYS,"KEYSIGHT TECHNOLOGIES, INC.",Information Technology,Information Technology,13.0,14.0,1.0
2026-05-28,KHC,THE KRAFT HEINZ COMPANY,Consumer Staples,Consumer Staples,-100.0,-53.0,47.0
2026-05-28,KIM,KIMCO REALTY .,Real Estate,Real Estate,-99.0,-24.0,75.0
2026-05-28,KKR,KKR & CO. INC.,Financials,Financials,12.0,-5.0,-17.0
2026-05-28,KLAC,KLA ,Information Technology,Information Technology,59.0,43.0,-16.0
2026-05-28,KMB,KIMBERLY-CLARK ,Consumer Staples,Consumer Staples,-67.0,-50.0,17.0
2026-05-28,KMI,"KINDER MORGAN, INC.",Energy,Energy,3.0,3.0,0.0
2026-05-28,KO,THE COCA-COLA COMPANY,Consumer Staples,Consumer Staples,-94.0,-15.0,79.0
2026-05-28,KR,THE KROGER CO.,Consumer Staples,Consumer Staples,36.0,-10.0,-46.0
2026-05-28,KVUE,KENVUE INC.,Consumer Staples,Consumer Staples,-31.0,-30.0,1.0
2026-05-28,L,LOEWS ,Financials,Financials,-67.0,6.0,73.0
2026-05-28,LDOS,"LEIDOS HOLDINGS, INC.",Industrials,Industrials,-24.0,0.0,24.0
2026-05-28,LEN,LENNAR ,Consumer Discretionary,Consumer Discretionary,-30.0,-19.0,11.0
2026-05-28,LH,LABORATORY  OF AMERICA HOLDINGS,Health Care,Health Care,-37.0,10.0,47.0
2026-05-28,LHX,"L3HARRIS TECHNOLOGIES, INC.",Industrials,Industrials,73.0,58.0,-15.0
2026-05-28,LII,LENNOX INTERNATIONAL INC.,Industrials,Industrials,-26.0,-25.0,1.0
2026-05-28,LIN,LINDE PUBLIC LIMITED COMPANY,Materials,Materials,23.0,13.0,-10.0
2026-05-28,LITE,LUMENTUM HOLDINGS INC.,Information Technology,Information Technology,8.0,-32.0,-40.0
2026-05-28,LLY,ELI LILLY AND COMPANY,Health Care,Health Care,-100.0,-53.0,47.0
2026-05-28,LMT,LOCKHEED MARTIN ,Industrials,Industrials,-33.0,-10.0,23.0
2026-05-28,LNT,ALLIANT ENERGY ,Utilities,Utilities,-19.0,52.0,71.0
2026-05-28,LOW,"LOWE'S COMPANIES, INC.",Consumer Discretionary,Consumer Discretionary,-80.0,10.0,90.0
2026-05-28,LQD,ISHARES:IBOXX $IG CORP,Bonds,Bonds,-50.0,-3.0,47.0
2026-05-28,LRCX,LAM RESEARCH ,Information Technology,Information Technology,21.0,13.0,-8.0
2026-05-28,LULU,LULULEMON ATHLETICA INC.,Consumer Discretionary,Consumer Discretionary,23.0,29.0,6.0
2026-05-28,LUV,SOUTHWEST AIRLINES CO.,Industrials,Industrials,-24.0,-24.0,0.0
2026-05-28,LVS,LAS VEGAS SANDS CORP.,Consumer Discretionary,Consumer Discretionary,67.0,75.0,8.0
2026-05-28,LYB,LYONDELLBASELL INDUSTRIES NV,Materials,Materials,62.0,25.0,-37.0
2026-05-28,LYV,"LIVE NATION ENTERTAINMENT, INC.",Communication Services,Communication Services,-61.0,-61.0,0.0
2026-05-28,MA,MASTERCARD INC..,Financials,Financials,-17.0,-13.0,4.0
2026-05-28,MAA,"MID-AMERICA APARTMENT COMMUNITIES, INC.",Real Estate,Real Estate,-49.0,-49.0,0.0
